legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
d6b0949ed2fe45c6502b0f3ef1e8f69b,5/12/2022,7/10/2022,EWR,LAX,UAA0OHEN,PT5H45M,0,FALSE,FALSE,TRUE,515.35,568.6,9,2458,1657486200,2022-07-10T16:50:00.000-04:00,1657506900,2022-07-10T19:35:00.000-07:00,LAX,EWR,United,UA,Boeing 777,20700,2458,coach
3324e6402ff7dd3119f933c6b2de94e0,5/5/2022,5/9/2022,DFW,DEN,L0AIZNN1,PT2H3M,0,FALSE,FALSE,TRUE,227.91,259.6,7,650,1652139540,2022-05-09T18:39:00.000-05:00,1652146920,2022-05-09T19:42:00.000-06:00,DEN,DFW,American Airlines,AA,Airbus A321,7380,650,coach
98f19f8d827913e0c4358fc89ecc0c4d,5/23/2022,5/27/2022,BOS,ATL,KA0QA0MQ,PT4H47M,0,FALSE,FALSE,FALSE,394.42,447.6,8,947,1653674400||1653682200,2022-05-27T14:00:00.000-04:00||2022-05-27T16:10:00.000-04:00,1653679800||1653691620,2022-05-27T15:30:00.000-04:00||2022-05-27T18:47:00.000-04:00,LGA||ATL,BOS||LGA,Delta||Delta,DL||DL,Embraer 170||Airbus A321,5400||9420,185||762,coach||coach
96d95f99d378775dcacb8ae7b32c7c17,6/3/2022,7/2/2022,DTW,PHL,VAA0AFEN,PT6H32M,1,FALSE,FALSE,FALSE,155.35,190.6,2,912,1656799020||1656815220,2022-07-02T17:57:00.000-04:00||2022-07-02T21:27:00.000-05:00,1656803820||1656822540,2022-07-02T18:17:00.000-05:00||2022-07-03T00:29:00.000-04:00,ORD||PHL,DTW||ORD,United||United,UA||UA,Airbus A319||Boeing 737-900,4800||7320,240||672,coach||coach
3e40fd204b043b2cd66d9612ac94f1ac,4/19/2022,5/1/2022,IAD,DFW,WAA1JKEN,PT8H1M,0,FALSE,FALSE,FALSE,217.67,257.6,9,1436,1651399800||1651424100,2022-05-01T06:10:00.000-04:00||2022-05-01T11:55:00.000-05:00,1651411560||1651428660,2022-05-01T08:26:00.000-05:00||2022-05-01T13:11:00.000-05:00,IAH||DFW,IAD||IAH,United||United,UA||UA,Boeing 737-800||Boeing 737 MAX 8,11760||4560,1203||233,coach||coach
f56166be6b3a91abad1bbdf2011d389b,4/24/2022,5/3/2022,PHL,ATL,K0AHZNN1,PT2H17M,0,FALSE,FALSE,TRUE,413.02,458.6,7,667,1651588800,2022-05-03T10:40:00.000-04:00,1651597020,2022-05-03T12:57:00.000-04:00,ATL,PHL,American Airlines,AA,Embraer 175,8220,667,coach
1461b1271e300dbd355398a26d6b321a,6/12/2022,7/22/2022,DFW,OAK,KH7OASMN,PT7H35M,0,FALSE,FALSE,FALSE,565.59,631.61,7,2162,1658524800||1658545800,2022-07-22T16:20:00.000-05:00||2022-07-22T20:10:00.000-07:00,1658539440||1658552100,2022-07-22T18:24:00.000-07:00||2022-07-22T21:55:00.000-07:00,PDX||OAK,DFW||PDX,Alaska Airlines||Alaska Airlines,AS||AS,Boeing 737-800||Embraer 175,14640||6300,1619||543,coach||coach
10d35146a8af650e0542718ea950ae6c,6/6/2022,6/23/2022,MIA,BOS,V7AHZNN1,PT5H50M,0,FALSE,FALSE,FALSE,180.47,217.61,7,1289,1655994960||1656010620,2022-06-23T10:36:00.000-04:00||2022-06-23T14:57:00.000-04:00,1656007140||1656015960,2022-06-23T13:59:00.000-04:00||2022-06-23T16:26:00.000-04:00,JFK||BOS,MIA||JFK,JetBlue Airways||JetBlue Airways,B6||B6,Boeing 737-800||Embraer 190,12180||5340,1104||185,coach||coach
4bec4e441590af63e0b8c1c591cbd8b4,6/21/2022,7/29/2022,DTW,DFW,V7AHZNN1,PT2H44M,0,FALSE,FALSE,TRUE,293.02,329.6,7,995,1659087300,2022-07-29T05:35:00.000-04:00,1659097140,2022-07-29T07:19:00.000-05:00,DFW,DTW,American Airlines,AA,Boeing 737-800,9840,995,coach
6cc0fe2e850ed7bd40a74a35fddb86d5,5/12/2022,7/3/2022,MIA,IAD,GUAIZNN1,PT7H24M,0,FALSE,FALSE,FALSE,502.33,568.11,2,990,1656872880||1656883620||1656894600,2022-07-03T14:28:00.000-04:00||2022-07-03T17:27:00.000-04:00||2022-07-03T20:30:00.000-04:00,1656877140||1656890220||1656899520,2022-07-03T15:39:00.000-04:00||2022-07-03T19:17:00.000-04:00||2022-07-03T21:52:00.000-04:00,MCO||CLT||IAD,MIA||MCO||CLT,American Airlines||American Airlines||American Airlines,AA||AA||AA,Boeing 737-800||Airbus A321||Boeing 737-800,4260||6600||4920,199||464||327,coach||coach||coach
6c93a49ab53fdd14d5532e2da352e205,6/25/2022,8/18/2022,DFW,BOS,RH7AUEL1,PT3H50M,0,FALSE,FALSE,TRUE,220.47,251.61,7,1556,1660842000,2022-08-18T12:00:00.000-05:00,1660855800,2022-08-18T16:50:00.000-04:00,BOS,DFW,JetBlue Airways,B6,Airbus A320,13800,1556,coach
ca904be1a94b4652bbaeb7645a6a3dd1,4/19/2022,5/22/2022,DTW,BOS,Y0CXNR,PT10H56M,0,FALSE,FALSE,FALSE,213,320.58,0,,1653222300||1653254400,2022-05-22T08:25:00.000-04:00||2022-05-22T17:20:00.000-04:00,1653228780||1653261660,2022-05-22T10:13:00.000-04:00||2022-05-22T19:21:00.000-04:00,MYR||BOS,DTW||MYR,Spirit Airlines||Spirit Airlines,NK||NK,Airbus A319||Airbus A319,6480||7260,None||None,coach||coach
818f5ce08c869ad3388f36a87796a5cc,5/12/2022,6/21/2022,MIA,DEN,BVAIZNN3,PT8H40M,0,FALSE,FALSE,FALSE,167.44,203.6,2,2725,1655812680||1655828100,2022-06-21T07:58:00.000-04:00||2022-06-21T12:15:00.000-04:00,1655823600||1655843880,2022-06-21T11:00:00.000-04:00||2022-06-21T14:38:00.000-06:00,JFK||DEN,MIA||JFK,JetBlue Airways||JetBlue Airways,B6||B6,Boeing 737-800||Airbus A321,10920||15780,1104||1621,coach||coach
53a0d1e73a0f71b82ef43504fdea5b30,4/25/2022,5/3/2022,SFO,LGA,MH7QBEL1,PT14H25M,1,FALSE,FALSE,FALSE,279.07,329.2,7,2883,1651614960||1651662000,2022-05-03T14:56:00.000-07:00||2022-05-04T07:00:00.000-04:00,1651635840||1651666860,2022-05-03T23:44:00.000-04:00||2022-05-04T08:21:00.000-04:00,BOS||LGA,SFO||BOS,JetBlue Airways||JetBlue Airways,B6||B6,Airbus A319-321||Embraer 190,20880||4860,2698||185,coach||coach
dc1143ceb725903e2b487e89b9a11aa7,5/18/2022,6/27/2022,DFW,PHL,LAUOA0MC,PT6H38M,0,FALSE,FALSE,FALSE,255.81,298.6,3,1442,1656361860||1656380100,2022-06-27T15:31:00.000-05:00||2022-06-27T21:35:00.000-04:00,1656371700||1656385740,2022-06-27T19:15:00.000-04:00||2022-06-27T23:09:00.000-04:00,DTW||PHL,DFW||DTW,Delta||Delta,DL||DL,Airbus A319||Boeing 717,9840||5640,995||447,coach||coach
ce785f09d7bbfc789b07855fea266608,5/13/2022,6/8/2022,BOS,ATL,TAA4AHEN,PT6H38M,0,FALSE,FALSE,FALSE,106.05,137.6,6,947,1654703700||1654718340,2022-06-08T11:55:00.000-04:00||2022-06-08T15:59:00.000-04:00,1654709160||1654727580,2022-06-08T13:26:00.000-04:00||2022-06-08T18:33:00.000-04:00,EWR||ATL,BOS||EWR,United||United,UA||UA,Boeing 737-800||Boeing 737-700,5460||9240,185||762,coach||coach
58f68f97b722bee1c17e621df299cb5e,6/23/2022,7/14/2022,IAD,LGA,SAA2AFEN,PT1H40M,0,FALSE,FALSE,TRUE,106.05,128.6,9,221,1657836000,2022-07-14T18:00:00.000-04:00,1657842000,2022-07-14T19:40:00.000-04:00,LGA,IAD,United,UA,,6000,221,coach
bf574fd6a16bdc897ba4ce4e0fc4ca37,5/3/2022,6/11/2022,CLT,OAK,U0XSNR,PT16H18M,0,FALSE,FALSE,FALSE,379.38,485.46,0,,1654948800||1655001840,2022-06-11T08:00:00.000-04:00||2022-06-11T19:44:00.000-07:00,1654966020||1655007480,2022-06-11T09:47:00.000-07:00||2022-06-11T21:18:00.000-07:00,LAS||OAK,CLT||LAS,Spirit Airlines||Spirit Airlines,NK||NK,||AIRBUS INDUSTRIE A320 SHARKLETS,17220||5640,None||None,coach||coach
